3502,737757207,0,admin_login,"2018-07-31 02:36:02",login,"{""general"":null}",success,support,2,adminhtml_index_index,,43.249.72.23
3503,737757207,182,adminhtml_system_config,"2018-07-31 02:39:25",view,"{""general"":""socialshare""}",success,support,2,adminhtml_system_config_index,,43.249.72.23
3504,737757207,182,cms_blocks,"2018-07-31 03:21:24",view,"{""general"":""13""}",success,support,2,cms_block_edit,,43.249.72.23
3505,2637454129,0,admin_login,"2018-07-31 07:01:51",login,"{""general"":null}",success,helis,5,adminhtml_index_index,,157.52.91.49
3506,2637454129,114,sales_orders,"2018-07-31 07:03:34",view,"{""general"":""69"",""additional"":{""Magento\\Sales\\Model\\Order\\Interceptor"":{""69"":{""increment_id"":""18073000001""}}}}",success,helis,5,sales_order_view,,157.52.91.49
3507,2637454129,114,sales_orders,"2018-07-31 07:04:58",view,"{""general"":""69"",""additional"":{""Magento\\Sales\\Model\\Order\\Interceptor"":{""69"":{""increment_id"":""18073000001""}}}}",success,helis,5,sales_order_view,,157.52.91.49
3508,2637454129,114,sales_invoices,"2018-07-31 07:05:48",save,"{""general"":""17"",""additional"":{""Magento\\Sales\\Model\\Order\\Invoice"":{""17"":{""increment_id"":""18073100001""}}}}",success,helis,5,sales_order_invoice_save,,157.52.91.49
3509,737757210,0,admin_login,"2018-08-01 07:34:35",login,"{""general"":null}",success,support,2,adminhtml_index_index,,43.249.72.26
3510,737757210,118,adminhtml_system_config,"2018-08-01 07:35:05",view,"{""general"":""socialshare""}",success,support,2,adminhtml_system_config_index,,43.249.72.26
3511,737757210,118,adminhtml_system_config,"2018-08-01 07:35:43",view,"{""general"":""system""}",success,support,2,adminhtml_system_config_edit,,43.249.72.26
3512,737757210,118,adminhtml_system_config,"2018-08-01 07:38:37",save,"{""general"":""system""}",success,support,2,adminhtml_system_config_save,,43.249.72.26
3513,737757210,118,adminhtml_system_config,"2018-08-01 07:39:28",view,"{""general"":""system""}",success,support,2,adminhtml_system_config_edit,,43.249.72.26
3514,737757210,118,cache_management,"2018-08-01 07:40:09",save,"{""general"":""Cache types: config, layout, block_html, collections, reflection, db_ddl, eav, customer_notification, full_page, config_integration, config_integration_api, target_rule, translate, config_webservice ""}",success,support,2,adminhtml_cache_massRefresh,,43.249.72.26
3515,2637454124,118,adminhtml_system_config,"2018-08-01 08:09:47",view,"{""general"":""socialshare""}",success,support,2,adminhtml_system_config_index,,157.52.91.44
3516,2637454124,118,adminhtml_system_config,"2018-08-01 08:09:57",view,"{""general"":""system""}",success,support,2,adminhtml_system_config_edit,,157.52.91.44
3517,2637454124,118,adminhtml_system_config,"2018-08-01 08:11:39",save,"{""general"":""system""}",success,support,2,adminhtml_system_config_save,,157.52.91.44
3518,2637454124,118,cache_management,"2018-08-01 08:12:57",save,"{""general"":""Cache types: config, layout, block_html, collections, reflection, db_ddl, eav, customer_notification, full_page, config_integration, config_integration_api, target_rule, translate, config_webservice ""}",success,support,2,adminhtml_cache_massRefresh,,157.52.91.44
